tag,shloka_ref,title,translation
attachment,2.47,"Chapter 2, Verse 47","You have the right to perform your actions, but never to the results of those actions. Do not consider yourself the cause of the results of your work, and do not become attached to inaction."
attachment,2.48,"Chapter 2, Verse 48","Be established in yoga, O Dhananjaya, and perform your actions while abandoning attachment. Remain balanced in success and failure. Such mental balance is called yoga."
attachment,2.49,"Chapter 2, Verse 49","Action driven by selfish desire for results is far inferior to action performed with the guidance of wisdom, O Dhananjaya. Therefore seek refuge in this wisdom. Those who act only for the fruits of th"
attachment,2.62,"Chapter 2, Verse 62","When a person constantly thinks about sense objects, attachment to them develops. From attachment arises desire, and from desire comes anger."
attachment,3.19,"Chapter 3, Verse 19","Therefore, without attachment, always perform your prescribed duty. For by performing action without attachment, a person attains the Supreme."
attachment,3.25,"Chapter 3, Verse 25","As the ignorant perform their duties with attachment to results, O descendant of Bharata, the wise should act with the same zeal, but without attachment, for the sake of leading people on the right pa"
attachment,3.26,"Chapter 3, Verse 26","The wise should not create conflict in the minds of the ignorant who are attached to the results of their actions. Rather, by performing their own duties with discipline and devotion, the wise should "
attachment,3.30,"Chapter 3, Verse 30","Surrendering all your actions unto Me, with your mind focused on the highest self, free from desire and selfishness, fight without any mental fever."
attachment,3.31,"Chapter 3, Verse 31",Those who constantly practice My teachings with full faith and without envy are freed from the bondage of their actions.
attachment,3.35,"Chapter 3, Verse 35","It is better to perform one’s own duty imperfectly than to perform another’s duty perfectly. Even death in the course of one’s own duty is better, for following another’s path is dangerous."
attachment,4.10,"Chapter 4, Verse 10","Freed from attachment, fear, and anger, fully absorbed in Me and taking refuge in Me, purified by the fire of knowledge, many in the past have attained My state of being."
attachment,5.10,"Chapter 5, Verse 10","One who performs their duties without attachment, surrendering the results to the Supreme, is never touched by negative reactions, just as a lotus leaf remains untouched by water."
attachment,7.1,"Chapter 7, Verse 1","The Supreme Lord said: Now hear, O son of Pritha, how by practicing yoga with your mind fully attached to Me, and taking exclusive refuge in Me, you can know Me completely, free from all doubt."
attachment,9.29,"Chapter 9, Verse 29","I am equal to all living beings. No one is hateful to Me and no one is especially dear to Me. But those who worship Me with devotion live in Me, and I also live in them."
authenticity,13.8,"Chapter 13, Verse 8","Humility, pridelessness, nonviolence, tolerance, simplicity, approaching a bona fide spiritual master, cleanliness, steadiness, and self-control;"
authenticity,16.1,"Chapter 16, Verse 1",The Supreme Lord said: Fearlessness; purification of one's existence; cultivation of spiritual knowledge; charity; self-control; performance of sacrifice; study of the Vedas; austerity; and simplicity
authenticity,16.5,"Chapter 16, Verse 5","The divine qualities are considered conducive to liberation, whereas the demoniac qualities lead to bondage. Do not grieve, O son of Pandu, for you are born with the divine qualities."
authenticity,18.55,"Chapter 18, Verse 55","Only through devotion can one come to know Me in truth—who and what I am. Having known Me in truth, one then enters into My being."
authenticity,18.59,"Chapter 18, Verse 59","If you think, 'I shall not fight,' relying on your ego, your determination is vain. Your own nature will compel you to act."
authenticity,18.60,"Chapter 18, Verse 60","O son of Kunti, bound by your own work which is born of your own nature, that which you do not wish to do out of delusion, you will eventually do even against your will."
authenticity,9.11,"Chapter 9, Verse 11",Fools deride Me when I descend in the human form. They do not know My supreme nature as the ultimate Lord of all beings.
balance,10.29,"Chapter 10, Verse 29","Among the Nagas I am Ananta; among aquatic beings I am Varuna. Among the ancestors I am Aryama, and among those who enforce discipline I am Yama."
balance,10.4,"Chapter 10, Verse 4","Intelligence, knowledge, freedom from confusion, forgiveness, truthfulness, control of the senses, control of the mind, happiness and distress, birth and death, fear and fearlessness all arise from Me"
balance,10.41,"Chapter 10, Verse 41","Whatever being possesses power, beauty, or greatness, understand that it arises from a small portion of My divine splendor."
balance,11.49,"Chapter 11, Verse 49","Do not be afraid or confused after seeing this terrifying form of Mine. Free from fear and with a peaceful mind, behold again My familiar form."
balance,11.51,"Chapter 11, Verse 51","Arjuna said: O Janardana, seeing Your gentle human form again, my mind has become calm. I have regained my awareness and returned to my normal state."
balance,12.13,"Chapter 12, Verse 13","One who has no hatred toward any being, who is friendly and compassionate, free from possessiveness and ego, balanced in both happiness and distress, and forgiving in nature, is dear to Me."
balance,12.4,"Chapter 12, Verse 4","Those who control their senses, remain balanced in all situations, and are dedicated to the welfare of all beings also ultimately reach Me."
balance,2.38,"Chapter 2, Verse 38","Treat pleasure and pain, gain and loss, victory and defeat alike. Then engage in battle. By doing so, you will not incur sin."
balance,9.25,"Chapter 9, Verse 25",Worshipers of the demigods go to the demigods; worshipers of the ancestors go to the ancestors; worshipers of ghosts and spirits go to such beings; and those who worship Me come to Me.
belonging,18.64,"Chapter 18, Verse 64","Because you are My very dear friend, I am speaking to you My supreme instruction, the most confidential knowledge of all. Hear this from Me, for it is for your benefit."
belonging,18.69,"Chapter 18, Verse 69","There is no servant in this world more dear to Me than he, nor will there ever be one more dear."
burnout,14.12,"Chapter 14, Verse 12","O chief of the Bharatas, when the mode of passion increases, the symptoms of greed, intense outward activity, the undertaking of selfish projects, severe restlessness, and uncontrollable craving devel"
burnout,14.16,"Chapter 14, Verse 16","The result of righteous action is said to be pure and in the mode of goodness. But action done in the mode of passion results in misery, and action performed in the mode of ignorance results in delusi"
burnout,14.7,"Chapter 14, Verse 7","O son of Kunti, know that the mode of passion is characterized by intense craving, born of unlimited desires and longings. It binds the embodied soul through attachment to the results of action."
burnout,15.7,"Chapter 15, Verse 7","The living entities in this conditioned world are My eternal fragmental parts. Due to conditioned life, they are struggling very hard with the six senses, which include the mind."
burnout,2.15,"Chapter 2, Verse 15","O best among men, the person who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation."
burnout,9.12,"Chapter 9, Verse 12","Those who are thus bewildered embrace a destructive and ignorant nature. In this deluded state, all their hopes, all their actions, and all their knowledge become entirely vain and meaningless."
burnout,9.21,"Chapter 9, Verse 21","Having enjoyed the vast heavenly realms, they return to the mortal world when their accumulated merit is exhausted. Thus, those who follow the rules of the three Vedas, driven by desires for material "
burnout,9.24,"Chapter 9, Verse 24",I am the sole enjoyer and the supreme Lord of all sacrifices. But those who do not recognize My true nature in reality fall down.
burnout,9.5,"Chapter 9, Verse 5","And yet, all created beings do not rest in Me. Behold My divine mystery! Although I am the creator and maintainer of all beings, My Self is not influenced by them or contained within them."
calmness,2.58,"Chapter 2, Verse 58","When a person withdraws their senses from sense objects just as a tortoise withdraws its limbs into its shell, that person's wisdom is firmly established."
calmness,2.61,"Chapter 2, Verse 61","One should restrain all the senses and remain steady with the mind focused on the higher purpose. For the person whose senses are under control, their wisdom becomes firmly established."
clarity,13.34,"Chapter 13, Verse 34","O son of Bharata, as the sun alone illuminates all this universe, so does the living entity, one within the body, illuminate the entire body by consciousness."
clarity,13.4,"Chapter 13, Verse 4","Now please hear in brief from Me what this field of activity is, what its nature is, what its changes are, where it comes from, who that knower of the field is, and what his influences are."
clarity,18.73,"Chapter 18, Verse 73","Arjuna said: My delusion is destroyed, and I have regained my memory through Your grace, O Infallible One. I am now firm, my doubts are gone, and I shall act according to Your word."
clarity,2.56,"Chapter 2, Verse 56","One whose mind is not disturbed in sorrow, who does not crave pleasure, and who is free from attachment, fear, and anger is called a sage of steady wisdom."
clarity,5.20,"Chapter 5, Verse 20","One who neither rejoices upon receiving something pleasant nor grieves upon receiving something unpleasant, who is of steady intelligence, unbewildered, and knows the Supreme, is already situated in t"
confusion,2.62,"Chapter 2, Verse 62","When a person constantly thinks about sense objects, attachment to them develops. From attachment arises desire, and from desire comes anger."
confusion,3.34,"Chapter 3, Verse 34","Attachment and aversion exist in relation to the objects of each sense. One should not come under their control, for they are obstacles on the path."
confusion,3.40,"Chapter 3, Verse 40","The senses, the mind, and the intellect are said to be the places where this desire resides. Through them, it covers knowledge and confuses the embodied person."
confusion,4.39,"Chapter 4, Verse 39","A person with faith, dedication, and control over the senses gains knowledge. Having attained that knowledge, one quickly achieves deep inner peace."
consistency,10.3,"Chapter 10, Verse 3","One who knows Me as unborn, without beginning, and as the supreme Lord of all worlds, such a person among mortals is free from delusion and is released from all sinful reactions."
consistency,12.2,"Chapter 12, Verse 2",The Supreme Lord said: Those who fix their minds on Me and constantly worship Me with deep faith are considered by Me to be the most perfectly united in yoga.
consistency,13.15,"Chapter 13, Verse 15","The Supreme Truth shines through the functions of all the senses, yet is devoid of the senses; He is unattached, yet supports everything; He is free from the modes of nature, yet is the experiencer of"
consistency,13.7,"Chapter 13, Verse 7","Desire, hatred, happiness, distress, the aggregate, the life symptoms, and convictions—all these are considered, in summary, to be the field of activities and its interactions."
consistency,14.10,"Chapter 14, Verse 10","Sometimes the mode of goodness becomes prominent, defeating the modes of passion and ignorance, O son of Bharata. Sometimes the mode of passion defeats goodness and ignorance, and at other times ignor"
consistency,15.3,"Chapter 15, Verse 3","The real form of this tree cannot be perceived in this world. No one can understand where it ends, where it begins, or where its foundation is. But with determination, one must cut down this strongly "
consistency,17.27,"Chapter 17, Verse 27","The state of steadfastness in sacrifice, penance and charity is also called 'Sat,' and any work performed for the sake of the Supreme is also designated as 'Sat.'"
consistency,18.5,"Chapter 18, Verse 5","Acts of sacrifice, charity and penance are not to be given up; they must be performed. Indeed, sacrifice, charity and penance purify even the great souls."
consistency,18.65,"Chapter 18, Verse 65","Always think of Me, become My devotee, worship Me and offer your homage unto Me. Thus you will come to Me without fail. I promise you this because you are My very dear friend."
consistency,2.14,"Chapter 2, Verse 14","O son of Kunti, the contact between the senses and their objects gives rise to fleeting perceptions of happiness and distress. These are non-permanent, coming and going like the winter and summer seas"
consistency,2.38,"Chapter 2, Verse 38","Treat pleasure and pain, gain and loss, victory and defeat alike. Then engage in battle. By doing so, you will not incur sin."
consistency,7.17,"Chapter 7, Verse 17","Of these, the one who is in full knowledge and who is always engaged in pure devotional service is the best. For I am very dear to him, and he is dear to Me."
consistency,7.28,"Chapter 7, Verse 28","Persons who have acted piously in previous lives and in this life and whose sinful actions are completely eradicated are freed from the dualities of delusion, and they engage themselves in My service "
consistency,8.14,"Chapter 8, Verse 14","For one who always remembers Me without deviation, I am easy to obtain, O son of Pritha, because of his constant engagement in devotional service."
consistency,8.22,"Chapter 8, Verse 22","The Supreme Personality of Godhead, who is greater than all, is attainable by unalloyed devotion. Although He is present in His abode, He is all-pervading, and everything is situated within Him."
consistency,9.12,"Chapter 9, Verse 12","Those who are thus bewildered embrace a destructive and ignorant nature. In this deluded state, all their hopes, all their actions, and all their knowledge become entirely vain and meaningless."
consistency,9.14,"Chapter 9, Verse 14","Always glorifying Me, striving with firm determination, and bowing down before Me, these great souls perpetually worship Me with devotion."
consistency,9.2,"Chapter 9, Verse 2","This knowledge is the king of education, the most profound secret, and the purest of all. It can be understood through direct experience, it is aligned with righteousness, it is everlasting, and it is"
consistency,9.3,"Chapter 9, Verse 3","O conqueror of enemies, persons who lack faith in this path of righteousness do not attain Me. Thus, they return to the continuous cycle of birth and death in this material world."
consistency,9.30,"Chapter 9, Verse 30","Even if a person of very improper conduct worships Me with exclusive devotion, he should be considered righteous, because he has made the correct determination."
consistency,9.31,"Chapter 9, Verse 31","He quickly becomes righteous and attains lasting peace. O son of Kunti, declare it boldly that My devotee never perishes."
courage,2.31,"Chapter 2, Verse 31","Furthermore, considering your own specific duty as a warrior, you should not waver. For a warrior, there is no greater good than fighting in a righteous war."
courage,2.33,"Chapter 2, Verse 33","If, however, you refuse to fight this righteous war, abandoning your own duty and reputation, you will certainly incur sin."
decision making,2.47,"Chapter 2, Verse 47","You have the right to perform your actions, but never to the results of those actions. Do not consider yourself the cause of the results of your work, and do not become attached to inaction."
decision making,3.30,"Chapter 3, Verse 30","Surrendering all your actions unto Me, with your mind focused on the highest self, free from desire and selfishness, fight without any mental fever."
decision making,3.35,"Chapter 3, Verse 35","It is better to perform one’s own duty imperfectly than to perform another’s duty perfectly. Even death in the course of one’s own duty is better, for following another’s path is dangerous."
depression,14.13,"Chapter 14, Verse 13","O son of Kuru, when the mode of ignorance increases, darkness, inactivity, negligence, and delusion are manifested."
detachment,10.11,"Chapter 10, Verse 11","Out of compassion for them, I dwell within their consciousness and destroy the darkness born of ignorance with the shining lamp of knowledge."
detachment,10.12,"Chapter 10, Verse 12","Arjuna said: You are the Supreme Reality, the supreme refuge, the purest, the eternal divine person, the original source of the gods, unborn and all-pervading."
detachment,10.14,"Chapter 10, Verse 14","O Krishna, I accept as true everything You have told me. Neither the gods nor the demons fully understand Your true nature."
detachment,10.3,"Chapter 10, Verse 3","One who knows Me as unborn, without beginning, and as the supreme Lord of all worlds, such a person among mortals is free from delusion and is released from all sinful reactions."
detachment,10.40,"Chapter 10, Verse 40","O mighty warrior, there is no end to My divine manifestations. What I have described to you is only a brief indication of their vastness."
detachment,10.5,"Chapter 10, Verse 5","Nonviolence, equality of vision, contentment, austerity, charity, fame and infamy all arise from Me in their various forms among living beings."
detachment,10.7,"Chapter 10, Verse 7",One who truly understands My divine manifestations and the power by which I sustain the universe becomes firmly established in spiritual union with Me. Of this there is no doubt.
detachment,10.9,"Chapter 10, Verse 9","With their minds fixed on Me and their lives devoted to Me, the wise enlighten one another and constantly speak about Me. In doing so, they experience satisfaction and deep joy."
detachment,11.1,"Chapter 11, Verse 1","Arjuna said: By Your grace You have spoken to me the supreme and confidential knowledge concerning the self. Through these words, my confusion has now been dispelled."
detachment,11.2,"Chapter 11, Verse 2","O lotus-eyed Krishna, I have heard from You in detail about the origin and dissolution of all beings, and also about Your imperishable greatness."
detachment,11.27,"Chapter 11, Verse 27",All the warriors rush into Your terrifying mouths with dreadful teeth. Some are seen trapped between Your teeth with their heads crushed to pieces.
detachment,11.29,"Chapter 11, Verse 29","Just as moths rush swiftly into a blazing fire to their destruction, so too all these people are rushing with great speed into Your mouths for their own destruction."
detachment,11.33,"Chapter 11, Verse 33","Therefore arise and gain glory. Conquer your enemies and enjoy a prosperous kingdom. These warriors have already been slain by Me. O skilled archer, you are merely an instrument in this process."
detachment,11.34,"Chapter 11, Verse 34","Drona, Bhishma, Jayadratha, Karna, and many other great warriors have already been slain by Me. Therefore defeat them and do not be disturbed. Fight, and you will conquer your enemies in battle."
detachment,11.43,"Chapter 11, Verse 43","You are the father of the entire universe, of all that moves and does not move. You are its most worthy object of worship and the greatest teacher. No one is equal to You, and how could anyone be grea"
detachment,11.44,"Chapter 11, Verse 44","Therefore, bowing down and prostrating my body before You, I seek Your grace, O worshipable Lord. Just as a father forgives a son, a friend forgives a friend, and a beloved forgives the beloved, O Lor"
detachment,11.54,"Chapter 11, Verse 54","But by undivided devotion, O Arjuna, I can truly be known, seen in reality, and entered into. Through such devotion one can understand Me as I am, O conqueror of enemies."
detachment,11.55,"Chapter 11, Verse 55","One who performs actions for Me, who regards Me as the supreme goal, who is devoted to Me, free from attachment, and free from hostility toward all beings, such a person comes to Me, O Arjuna."
detachment,12.10,"Chapter 12, Verse 10","If you are unable even to practice steady discipline, then dedicate your actions to Me. By performing actions for My sake, you will attain perfection."
detachment,12.11,"Chapter 12, Verse 11","If you are unable to act for My sake, then practice renouncing the results of all your actions with self-control."
detachment,12.12,"Chapter 12, Verse 12","Knowledge is better than mechanical practice, meditation is superior to knowledge, and renouncing the results of actions is greater than meditation. From such renunciation, peace immediately follows."
detachment,12.13,"Chapter 12, Verse 13","One who has no hatred toward any being, who is friendly and compassionate, free from possessiveness and ego, balanced in both happiness and distress, and forgiving in nature, is dear to Me."
detachment,12.16,"Chapter 12, Verse 16","One who is free from expectation, pure in conduct, skillful in action, impartial, free from anxiety, and who has renounced selfish undertakings, such a devotee is dear to Me."
detachment,12.17,"Chapter 12, Verse 17","One who neither becomes overly joyful nor hates, neither laments nor desires, and who has renounced attachment to both good and bad outcomes, such a devoted person is dear to Me."
detachment,12.18,"Chapter 12, Verse 18","One who remains equal toward friend and enemy, balanced in honor and dishonor, and steady in heat and cold, pleasure and pain, free from attachment, such a person is dear to Me."
detachment,12.19,"Chapter 12, Verse 19","One who regards praise and criticism equally, who is thoughtful and restrained in speech, content with whatever comes, unattached to fixed possessions or residence, steady in mind and devoted, such a "
detachment,12.20,"Chapter 12, Verse 20","Those who follow this path of righteous wisdom as described, with faith and with Me as their supreme goal, such devoted individuals are exceedingly dear to Me."
detachment,12.4,"Chapter 12, Verse 4","Those who control their senses, remain balanced in all situations, and are dedicated to the welfare of all beings also ultimately reach Me."
detachment,12.6,"Chapter 12, Verse 6","But those who dedicate all their actions to Me, who regard Me as their supreme goal, and who worship Me while meditating on Me with single-minded focus, follow a path of devotion."
detachment,13.10,"Chapter 13, Verse 10","Non-attachment, absence of entanglement with children, spouse, home, and the rest, and constant even-mindedness amid desirable and undesirable events."
detachment,13.2,"Chapter 13, Verse 2","The Supreme Lord said: This body, O son of Kunti, is called the field (kshetra), and one who knows this body is called the knower of the field (kshetrajna) by those who understand these things."
detachment,13.22,"Chapter 13, Verse 22",The living entity (Purusha) situated in material nature (Prakriti) thus experiences the qualities (gunas) born of material nature. It is this attachment to the modes of nature that is the cause of its
detachment,13.25,"Chapter 13, Verse 25","Some perceive the Supersoul within themselves through meditation, others through the cultivation of knowledge, and still others through working without fruitive desires."
detachment,13.7,"Chapter 13, Verse 7","Desire, hatred, happiness, distress, the aggregate, the life symptoms, and convictions—all these are considered, in summary, to be the field of activities and its interactions."
detachment,14.17,"Chapter 14, Verse 17","From the mode of goodness, real knowledge develops; from the mode of passion, greed develops; and from the mode of ignorance develop negligence, delusion, and foolishness."
detachment,14.22,"Chapter 14, Verse 22","The Supreme Lord said: O son of Pandu, one who does not hate illumination, activity, and delusion when they are present, nor longs for them when they disappear..."
detachment,14.24,"Chapter 14, Verse 24","One who is situated in the self and is equal in distress and happiness; who looks upon a clod of dirt, a stone, and a piece of gold with an equal eye; who is equal toward the desirable and the undesir"
detachment,14.25,"Chapter 14, Verse 25","One who is equal in honor and dishonor, who treats friend and foe alike, and who has renounced all ego-driven undertakings—such a person is said to have transcended the modes of nature."
detachment,14.6,"Chapter 14, Verse 6","Of these, the mode of goodness, being pure, is illuminating and free from disease. It binds the soul by attachment to happiness and attachment to knowledge, O sinless one."
detachment,14.7,"Chapter 14, Verse 7","O son of Kunti, know that the mode of passion is characterized by intense craving, born of unlimited desires and longings. It binds the embodied soul through attachment to the results of action."
detachment,15.1,"Chapter 15, Verse 1","The Supreme Lord said: They speak of an eternal ashvattha tree with its roots upward and branches downward, whose leaves are the Vedic hymns. One who knows this tree is the knower of the Vedas."
detachment,15.16,"Chapter 15, Verse 16","There are two classes of beings in this world: the perishable and the imperishable. All living entities in the material world are perishable, but the steadfast, unchanging reality is called imperishab"
detachment,15.2,"Chapter 15, Verse 2","The branches of this tree extend downward and upward, nourished by the three modes of material nature. The twigs are the objects of the senses. This tree also has roots going down, and these are bound"
detachment,15.3,"Chapter 15, Verse 3","The real form of this tree cannot be perceived in this world. No one can understand where it ends, where it begins, or where its foundation is. But with determination, one must cut down this strongly "
detachment,15.4,"Chapter 15, Verse 4","Then, one must seek that place from which, having gone, one never returns, and there surrender to that Supreme Primeval Person from whom everything has begun and from whom the eternal manifestation ha"
detachment,15.5,"Chapter 15, Verse 5","Those who are free from false prestige, illusion, and the fault of attachment, who are eternally situated in the understanding of the self, who are freed from selfish desires, and who are liberated fr"
detachment,17.21,"Chapter 17, Verse 21","But charity performed with the expectation of some return, or with a desire for fruits, or in a grudging mood, is said to be in the mode of passion."
detachment,17.5,"Chapter 17, Verse 5","Those who undergo severe austerities and penances not recommended in the scriptures, out of pride and egotism, who are impelled by lust and attachment..."
detachment,18.12,"Chapter 18, Verse 12","The threefold fruits of action—undesirable, desirable, and mixed—accrue after death to those who are attached to the results. But for those who have renounced the fruits of action, there are no such c"
detachment,18.13,"Chapter 18, Verse 13","O mighty-armed Arjuna, learn from Me the five factors for the accomplishment of all actions, as declared in the Sankhya philosophy, which is the ultimate conclusion of all action."
detachment,18.22,"Chapter 18, Verse 22","And that knowledge which is blindly attached to one single activity or concept as if it were everything, without reason, devoid of truth, and which is very narrow and meager, is declared to be in the "
detachment,18.23,"Chapter 18, Verse 23","That action which is regulated and performed without attachment, without love or hatred, and without desire for fruitive results is said to be in the mode of goodness (Sattvic)."
detachment,18.26,"Chapter 18, Verse 26","The worker who is free from all material attachments and false ego, who is endowed with great enthusiasm and determination, and who is unperturbed in success or failure, is said to be a worker in the "
detachment,18.34,"Chapter 18, Verse 34","But that determination by which one holds fast to duty, pleasure, and wealth, desiring the fruits of actions out of intense attachment, O Partha, is in the mode of passion (Rajasic)."
detachment,18.48,"Chapter 18, Verse 48","One should not abandon the work they were born to do, O son of Kunti, even if it is faulty; for all undertakings are covered by some fault, just as fire is covered by smoke."
detachment,18.50,"Chapter 18, Verse 50","Learn from Me in brief, O son of Kunti, how one who has attained this perfection can reach the supreme state of Brahman, the highest stage of knowledge."
detachment,18.51,"Chapter 18, Verse 51","Being purified by intelligence and controlling the mind with determination, giving up the objects of sense gratification, and casting aside attachment and hatred..."
detachment,18.53,"Chapter 18, Verse 53","One who has abandoned false ego, false strength, arrogance, desire, anger, and possessiveness—who is free from the notion of 'mine' and is peaceful—is fit for realizing the Supreme (Brahman)."
detachment,18.54,"Chapter 18, Verse 54",One who is thus transcendentally situated at once realizes the Supreme Brahman and becomes fully joyful. He never laments or desires to have anything. He is equally disposed toward every living entity
detachment,18.58,"Chapter 18, Verse 58","If you become conscious of Me, you will pass over all the obstacles of life by My grace. If, however, you do not act in such consciousness but act through false ego, not hearing Me, you will be lost."
detachment,18.6,"Chapter 18, Verse 6","All these activities should be performed without attachment or any expectation of result. They should be performed as a matter of duty, O son of Pritha. That is My final and supreme opinion."
detachment,18.9,"Chapter 18, Verse 9","O Arjuna, when one performs their prescribed duty simply because it ought to be done, renouncing all attachment to the action and its fruit, that renunciation is considered to be in the mode of goodne"
detachment,2.47,"Chapter 2, Verse 47","You have the right to perform your actions, but never to the results of those actions. Do not consider yourself the cause of the results of your work, and do not become attached to inaction."
detachment,3.25,"Chapter 3, Verse 25","As the ignorant perform their duties with attachment to results, O descendant of Bharata, the wise should act with the same zeal, but without attachment, for the sake of leading people on the right pa"
detachment,3.26,"Chapter 3, Verse 26","The wise should not create conflict in the minds of the ignorant who are attached to the results of their actions. Rather, by performing their own duties with discipline and devotion, the wise should "
detachment,3.30,"Chapter 3, Verse 30","Surrendering all your actions unto Me, with your mind focused on the highest self, free from desire and selfishness, fight without any mental fever."
detachment,3.35,"Chapter 3, Verse 35","It is better to perform one’s own duty imperfectly than to perform another’s duty perfectly. Even death in the course of one’s own duty is better, for following another’s path is dangerous."
detachment,4.41,"Chapter 4, Verse 41","O Dhananjaya, actions do not bind the one who has renounced actions through yoga, whose doubts have been cut by knowledge, and who is established in self-awareness."
detachment,6.35,"Chapter 6, Verse 35","The Blessed Lord said: O mighty-armed Arjuna, the mind is indeed restless and difficult to control, but it can be restrained through practice and detachment."
detachment,7.1,"Chapter 7, Verse 1","The Supreme Lord said: Now hear, O son of Pritha, how by practicing yoga with your mind fully attached to Me, and taking exclusive refuge in Me, you can know Me completely, free from all doubt."
detachment,7.10,"Chapter 7, Verse 10","O son of Pritha, know that I am the original seed of all existences, the intelligence of the intelligent, and the prowess of all powerful men."
detachment,7.11,"Chapter 7, Verse 11","I am the strength of the strong, devoid of passion and desire. I am sex life which is not contrary to religious principles, O Lord of the Bharatas (Arjuna)."
detachment,7.12,"Chapter 7, Verse 12","Know that all states of being—be they of goodness, passion or ignorance—are manifested by My energy. I am, in one sense, everything, but I am independent. I am not under the modes of material nature, "
detachment,7.13,"Chapter 7, Verse 13","Deluded by the three modes (goodness, passion and ignorance), the whole world does not know Me, who am above the modes and inexhaustible."
detachment,7.14,"Chapter 7, Verse 14","This divine energy of Mine, consisting of the three modes of material nature, is difficult to overcome. But those who have surrendered unto Me can easily cross beyond it."
detachment,7.15,"Chapter 7, Verse 15","Those miscreants who are grossly foolish, who are lowest among mankind, whose knowledge is stolen by illusion, and who partake of the atheistic nature of demons do not surrender unto Me."
detachment,7.16,"Chapter 7, Verse 16","O best among the Bharatas, four kinds of pious men begin to render devotional service unto Me—the distressed, the desirer of wealth, the inquisitive, and he who is searching for knowledge of the Absol"
detachment,7.17,"Chapter 7, Verse 17","Of these, the one who is in full knowledge and who is always engaged in pure devotional service is the best. For I am very dear to him, and he is dear to Me."
detachment,7.18,"Chapter 7, Verse 18","All these devotees are undoubtedly magnanimous, but he who is situated in knowledge of Me I consider to be just like My own self. Being engaged in My transcendental service, he is sure to attain Me, t"
detachment,7.19,"Chapter 7, Verse 19","After many births and deaths, he who is actually in knowledge surrenders unto Me, knowing Me to be the cause of all causes and all that is. Such a great soul is very rare."
detachment,7.2,"Chapter 7, Verse 2","I shall now declare unto you in full this knowledge, both phenomenal (theoretical) and numinous (experiential). Once this is known, absolutely nothing further remains to be known in this world."
detachment,7.20,"Chapter 7, Verse 20",Those whose intelligence has been stolen by material desires surrender unto demigods and follow the particular rules and regulations of worship according to their own natures.
detachment,7.21,"Chapter 7, Verse 21","Whatever celestial form a devotee chooses to worship with faith, I stabilize the faith of that particular devotee in that very form."
